,Unnamed: 0,id,sq_mt_built,n_rooms,n_bathrooms,rent_price,buy_price,buy_price_by_area,title,subtitle,raw_address,street_name,floor,is_floor_under,neighborhood_id,house_type_id,is_new_development,has_lift,is_exterior,energy_certificate,is_exact_address_hidden,is_renewal_needed
438,438.0,21304.0,71.0,3.0,1.0,539.0,100000.0,1408.0,"Piso en venta en calle de Rocafort, 16","San Cristóbal, Madrid","Calle de Rocafort, 16",Calle de Rocafort,5.0,False,,,False,True,True,B,False,False
439,439.0,21303.0,70.0,3.0,1.0,526.0,97000.0,1386.0,"Piso en venta en calle de Godella, 160","San Cristóbal, Madrid","Calle de Godella, 160",Calle de Godella,5.0,False,,,False,False,True,en trámite,False,False
440,440.0,21302.0,100.0,3.0,2.0,847.0,179000.0,1790.0,"Piso en venta en calle de la Unanimidad, 51","Los Rosales, Madrid","Calle de la Unanimidad, 51",Calle de la Unanimidad,4.0,False,,,False,True,True,no indicado,False,False
441,441.0,21301.0,63.0,3.0,1.0,621.0,119000.0,1889.0,"Piso en venta en calle Moncada, 107","San Cristóbal, Madrid","Calle Moncada, 107",Calle Moncada,5.0,False,,,False,False,True,en trámite,False,False
442,442.0,21300.0,60.0,2.0,1.0,517.0,95000.0,1583.0,"Piso en venta en calle Manola y Rosario, 1","San Andrés, Madrid","Calle Manola y Rosario, 1",Calle Manola y Rosario,3.0,False,,,False,False,True,A,False,False
443,443.0,21299.0,105.0,3.0,2.0,1094.0,260000.0,2476.0,"Piso en venta en calle Anoeta, 26","Los Ángeles, Madrid","Calle Anoeta, 26",Calle Anoeta,5.0,False,,,False,True,True,no indicado,False,False
444,444.0,21298.0,93.0,2.0,2.0,948.0,210000.0,2258.0,"Piso en venta en calle Huerta de Villaverde, 1","San Andrés, Madrid","Calle Huerta de Villaverde, 1",Calle Huerta de Villaverde,1.0,False,,,False,True,True,en trámite,False,False
445,445.0,21297.0,80.0,2.0,2.0,1067.0,250000.0,3125.0,"Piso en venta en calle Uranio, 20","Butarque, Madrid","Calle Uranio, 20",Calle Uranio,1.0,False,,,False,True,True,no indicado,False,False
446,446.0,21296.0,54.0,2.0,1.0,736.0,148000.0,2741.0,"Piso en venta en calle Doña Francisquita, 3","Los Ángeles, Madrid","Calle Doña Francisquita, 3",Calle Doña Francisquita,3.0,False,,,False,False,True,no indicado,False,False
447,447.0,21295.0,64.0,2.0,1.0,535.0,99000.0,1547.0,Piso en venta en San Andrés,"Villaverde, Madrid",Paseo de la Castellana,Paseo de la Castellana,,True,,,False,False,True,en trámite,True,False
